epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,252.663,0.93672,12.4419,0.58118,0.92758,0.0259,9.39609,0.85523,0.7837,0.84889,0.51393,0.32268,0.16204,0.07468,0.0221,1.04326,11.6062,0.3325,0.87053,0.04109,0,0.000499565,0.000499565,0.0755213
2,507.593,0.89905,9.55144,0.42346,0.79225,0.02509,6.85398,0.92142,0.84058,0.92489,0.61607,0.70656,0.48694,0.46989,0.19811,0.87956,7.09603,0.16057,0.63963,0.03429,0,0.000999321,0.000999321,0.0510211
3,741.082,0.88013,8.50352,0.37599,0.75076,0.02447,5.99753,0.90768,0.88887,0.95212,0.62832,0.79821,0.6029,0.60057,0.3526,0.86523,5.46483,0.14161,0.53811,0.03327,0,0.0014981,0.0014981,0.0265198
4,989.09,0.8597,7.95813,0.35637,0.73372,0.02394,5.5861,0.91815,0.8906,0.94654,0.69014,0.7846,0.59615,0.57909,0.34676,0.72203,5.40892,0.17215,0.51856,0.02616,0,0.00199517,0.00199517,0.00201691
5,1241.86,0.84402,7.56002,0.33783,0.72087,0.02315,5.20517,0.92198,0.93515,0.97065,0.68355,0.76771,0.63513,0.60917,0.38988,0.76059,4.90659,0.12654,0.44493,0.02928,0,0.00199219,0.00199219,0.00199219
6,1475.8,0.81496,7.14898,0.32189,0.68217,0.02233,4.85669,0.93422,0.93571,0.97495,0.70769,0.75564,0.621,0.56809,0.37339,0.71445,5.02814,0.1442,0.43158,0.02696,0,0.00198781,0.00198781,0.00198781
7,1708.21,0.79118,6.7994,0.31134,0.6513,0.02158,4.52478,0.91947,0.91673,0.9596,0.70841,0.82359,0.66012,0.67818,0.46776,0.69949,4.52031,0.13023,0.49163,0.02584,0,0.00198246,0.00198246,0.00198246
8,1947.46,0.78956,6.62027,0.30281,0.64164,0.02165,4.39209,0.93413,0.9362,0.97566,0.73103,0.8272,0.68814,0.71148,0.49791,0.67422,4.19008,0.12559,0.41059,0.02508,0,0.00197616,0.00197616,0.00197616
9,2199.76,0.75706,6.29221,0.29206,0.61217,0.02057,4.04642,0.94809,0.94972,0.98101,0.73378,0.80106,0.71008,0.69575,0.4906,0.67168,4.09001,0.11086,0.38872,0.02473,0,0.0019689,0.0019689,0.0019689
10,2443.87,0.75333,6.20434,0.28565,0.60479,0.02043,3.95919,0.94496,0.94736,0.97918,0.75233,0.83496,0.72013,0.74438,0.5362,0.62562,3.80981,0.10785,0.38798,0.02266,0,0.00196069,0.00196069,0.00196069
