epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,262.38,1.23564,8.73716,0.71067,1.044,0.02311,12.63,0.94085,0.93233,0.97632,0.7206,0.53196,0.34414,0.23469,0.07249,1.03206,5.63311,0.43442,0.40872,0.02484,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,520.302,1.07506,5.81177,0.59962,0.6529,0.01973,6.5092,0.93745,0.9345,0.97287,0.73194,0.68782,0.54148,0.47989,0.28585,0.99138,3.91446,0.36718,0.39905,0.02409,0,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183
3,754.559,1.12043,5.34068,0.51036,0.66046,0.02074,5.83807,0.92812,0.87919,0.95579,0.70761,0.78821,0.56264,0.56898,0.35308,1.03285,3.68975,0.28716,0.52077,0.02526,0,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122
4,1003.86,1.15418,5.13274,0.43464,0.70294,0.02159,5.5076,0.93753,0.92947,0.97565,0.74897,0.81433,0.67628,0.6887,0.45985,0.94733,3.02947,0.21466,0.38616,0.02222,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1256.16,1.10714,4.62959,0.3852,0.65468,0.02024,4.80027,0.93098,0.94546,0.97907,0.7637,0.78216,0.68115,0.66897,0.44697,0.89519,2.93067,0.15039,0.38259,0.02105,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1490.09,1.07872,4.35355,0.35618,0.62329,0.01967,4.42657,0.9408,0.93763,0.97662,0.76377,0.80308,0.72423,0.72822,0.52798,0.88989,2.62994,0.13755,0.41683,0.02098,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1720.48,1.05163,4.09839,0.33885,0.5833,0.01913,4.01919,0.95824,0.94746,0.98107,0.7715,0.73685,0.69406,0.63269,0.44468,0.86079,2.88216,0.12864,0.33815,0.02029,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1961.11,1.02993,3.89786,0.32315,0.55713,0.01873,3.75113,0.94716,0.95145,0.98237,0.78006,0.80648,0.72945,0.72041,0.51816,0.83696,2.51387,0.11989,0.35653,0.01965,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2213.74,1.00092,3.72266,0.31112,0.54756,0.01805,3.50737,0.95808,0.95361,0.98602,0.81075,0.811,0.77051,0.74849,0.55439,0.74883,2.32846,0.10772,0.31119,0.01708,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2459.51,0.98291,3.64444,0.29915,0.54038,0.01763,3.34831,0.95653,0.95353,0.98402,0.79935,0.79285,0.75876,0.71761,0.53865,0.78651,2.37587,0.09313,0.32684,0.01814,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2703.46,0.97312,3.52831,0.29472,0.5196,0.0173,3.19559,0.95129,0.9606,0.98507,0.80621,0.83557,0.76998,0.77927,0.61115,0.76889,2.17051,0.09647,0.3146,0.01795,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
